time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-12-15 09:30:00-05:00,MlTrader,,bt_1,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-12-15 09:30:00-05:00,MlTrader,,bt_1,SPY,buy,market,fill,685.739990234375,73.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-03-20 08:30:00-04:00,MlTrader,,162253ac507d4a008bbd3efd22252943,SPY,sell_to_close,limit,canceled,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2026-03-20 08:30:00-04:00,MlTrader,,5eef20b0192d4760877a5a88f3a614cd,SPY,sell_to_close,stop,fill,653.7614837646485,73.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
